cssClass,icon
osmBench,letter_b.png
osmPostbox,letter_p.png
osmPostoffice,postal.png
osmPharmacy,medicalstore.png
osmToilets,toilets.png
osmPolice,police.png
osmATM,atm-2.png
osmFuel,fillingstation.png
osmSchool,school.png
osmUniversity,university.png
osmBicycleparking,parking_bicycle-2.png
osmBicyclerental,number_1.png
osmTaxi,taxi.png
osmParking,parkinggarage.png
osmArtscentre,artgallery.png
osmTheatre,theater.png
osmCinema,cinema.png
osmInformation,information.png
osmMuseum,museum_art.png
osmArtwork,number_2.png
osmGallery,artgallery.png
osmPicnic,picnic-2.png
osmZoo,zoo.png
osmViewpoint,sight-2.png
osmAttraction,letter_a.png
osmHotel,hotel_0star.png
osmApartment,apartment-3.png
osmGuesthouse,bed_breakfast1-2.png
osmHostel,hostel_0star.png
osmMotel,motel-2.png
osmCampsite,camping-2.png
osmSoccer,soccer.png
osmUsFootball,usfootball.png
osmGolf,golfing.png
osmTennis,tennis.png
osmVolleybal,volleyball.png
osmBaseball,baseball.png
osmBasketball,basketball.png
osmIcehockey,icehockey.png
osmHockey,hockey.png
osmCycling,cycling.png
osmHorseracing,horseriding.png
osmSwimming,swimming.png
osmSurfing,surfing.png
osmGymnastics,indoor-arena.png
osmMall,mall.png
osmShop,letter_s.png
osmDepartmentstore,departmentstore.png
osmClothes,clothers_male.png
osmFashion,clothers_female.png
osmJewelry,jewelry.png
osmLeather,bags.png
osmShoes,shoes.png
osmHairdresser,barber.png
osmBeauty,beautysalon.png
osmCosmetics,perfumery.png
osmChemist,chemistry-2.png
osmOpticien,ophthalmologist.png
osmBooks,library.png
osmPhoto,photography.png
osmToys,toys.png
osmGift,gifts.png
osmBicycle,bicycle_shop.png
osmMusicalinstruments,music.png
osmRestaurant,restaurant.png
osmBar,bar.png
osmCafe,cafetaria.png
osmPub,bar.png
osmIcecream,icecream.png
osmFastfood,fastfood.png
osmSupermarket,supermarket.png
osmBakery,bread.png
osmConfectionery,candy.png
osmDeli,patisserie.png
osmDairy,milk_and_cookies.png
osmCheese,cheese.png
osmGreengrocer,fruits.png
osmGrocery,grocery.png
osmButcher,butcher-2.png
osmCoffee,coffee.png
osmSeafood,restaurant_fish.png
osmOrganic,restaurant_vegetarian.png
osmDrinkingwater,drinkingwater.png
osmAlcohol,liquor.png
osmWine,winebar.png
osmBeverages,bar_coktail.png
osmTravelagency,travel_agency.png
osmCopyshop,printer-2.png
osmDefibrilator,aed-2.png
osmFirehose,fireexstinguisher.png
osmMemorial,memorial.png
osmMonument,monument.png
osmWindmill,windmill-2.png
osmWatermill,watermill-2.png
